Jahr,Rubrik,Energietraeger,TJ
"1980,""Endverbrauch - Verkehr"",""Müll und Industrieabfälle"","
"1980,""Endverbrauch - Verkehr"",""Rohöl"","
"1980,""Endverbrauch - Verkehr"",""Uebrige erneuerbare Energien"","
"1980,""Endverbrauch - Verkehr"",""Wasserkraft"","
"1980,""Energieumwandlung - Diverse Erneuerbare"",""Elektrizität"","
"1980,""Energieumwandlung - Diverse Erneuerbare"",""Erdölprodukte"","
"1980,""Energieumwandlung - Diverse Erneuerbare"",""Fernwärme"",0"
"1980,""Energieumwandlung - Diverse Erneuerbare"",""Gas"","
"1980,""Energieumwandlung - Diverse Erneuerbare"",""Holzenergie"",0"
"1980,""Energieumwandlung - Diverse Erneuerbare"",""Kernbrennstoffe"","
"1980,""Energieumwandlung - Diverse Erneuerbare"",""Kohle"","
"1980,""Energieumwandlung - Diverse Erneuerbare"",""Müll und Industrieabfälle"","
"1980,""Energieumwandlung - Diverse Erneuerbare"",""Rohöl"","
"1980,""Energieumwandlung - Diverse Erneuerbare"",""Uebrige erneuerbare Energien"","
"1980,""Energieumwandlung - Diverse Erneuerbare"",""Wasserkraft"","
"1980,""Energieumwandlung - Gaswerke"",""Elektrizität"","
"1980,""Energieumwandlung - Gaswerke"",""Erdölprodukte"",-840"
"1980,""Energieumwandlung - Gaswerke"",""Fernwärme"","
"1980,""Energieumwandlung - Gaswerke"",""Gas"",720"
"1980,""Energieumwandlung - Gaswerke"",""Holzenergie"","
"1980,""Energieumwandlung - Gaswerke"",""Kernbrennstoffe"","
"1980,""Energieumwandlung - Gaswerke"",""Kohle"","
"1980,""Energieumwandlung - Gaswerke"",""Müll und Industrieabfälle"","
"1980,""Energieumwandlung - Gaswerke"",""Rohöl"","
"1980,""Energieumwandlung - Gaswerke"",""Uebrige erneuerbare Energien"","
"1980,""Energieumwandlung - Gaswerke"",""Wasserkraft"","
"1980,""Energieumwandlung - Kernkraftwerke"",""Elektrizität"",49190"
"1980,""Energieumwandlung - Kernkraftwerke"",""Erdölprodukte"","
"1980,""Energieumwandlung - Kernkraftwerke"",""Fernwärme"",120"
"1980,""Energieumwandlung - Kernkraftwerke"",""Gas"","
"1980,""Energieumwandlung - Kernkraftwerke"",""Holzenergie"","
"1980,""Energieumwandlung - Kernkraftwerke"",""Kernbrennstoffe"",-149050"
"1980,""Energieumwandlung - Kernkraftwerke"",""Kohle"","
"1980,""Energieumwandlung - Kernkraftwerke"",""Müll und Industrieabfälle"","
"1980,""Energieumwandlung - Kernkraftwerke"",""Rohöl"","
"1980,""Energieumwandlung - Kernkraftwerke"",""Uebrige erneuerbare Energien"","
"1980,""Energieumwandlung - Kernkraftwerke"",""Wasserkraft"","
"1980,""Energieumwandlung - Raffinerien"",""Elektrizität"","
"1980,""Energieumwandlung - Raffinerien"",""Erdölprodukte"",190500"
"1980,""Energieumwandlung - Raffinerien"",""Fernwärme"","
"1980,""Energieumwandlung - Raffinerien"",""Gas"","
"1980,""Energieumwandlung - Raffinerien"",""Holzenergie"","
"1980,""Energieumwandlung - Raffinerien"",""Kernbrennstoffe"","
